date,close
6/13/2011,332.44
6/14/2011,326.75
6/15/2011,325.16
6/16/2011,320.26
6/19/2011,315.32
6/20/2011,325.3
6/21/2011,322.61
6/22/2011,331.23
6/23/2011,326.35
6/26/2011,332.04
6/27/2011,335.26
6/28/2011,334.04
6/29/2011,335.67
7/1/2011,343.26
7/5/2011,349.43
7/6/2011,351.76
7/7/2011,357.2
7/8/2011,359.71
7/10/2011,354
7/11/2011,353.75
7/12/2011,358.02
7/13/2011,357.77
7/14/2011,364.92
7/17/2011,373.8
7/18/2011,376.85
7/19/2011,386.9
7/20/2011,387.29
7/21/2011,393.3
7/24/2011,398.5
7/25/2011,403.41
7/26/2011,392.59
7/27/2011,391.82
7/28/2011,390.48
8/1/2011,396.75
8/2/2011,388.91
8/3/2011,392.57
8/4/2011,377.37
8/5/2011,373.62
8/8/2011,353.21
8/9/2011,374.01
8/9/2011,363.69
8/10/2011,373.7
8/11/2011,376.99
8/14/2011,383.41
8/15/2011,380.48
8/16/2011,380.44
8/17/2011,366.05
8/18/2011,356.03
8/21/2011,356.44
8/22/2011,373.6
8/23/2011,376.18
8/24/2011,373.72
8/25/2011,383.58
8/28/2011,389.97
8/29/2011,389.99
8/30/2011,384.83
9/1/2011,381.03
9/2/2011,374.05
9/6/2011,379.74
9/7/2011,383.93
9/8/2011,384.14
9/9/2011,377.48
9/11/2011,379.94
9/12/2011,384.62
9/13/2011,389.3
9/14/2011,392.96
9/15/2011,400.5
9/18/2011,411.63
9/19/2011,413.45
9/20/2011,412.14
9/21/2011,401.82
9/22/2011,404.3
9/25/2011,403.17
9/26/2011,399.26
9/27/2011,397.01
9/28/2011,390.57
9/29/2011,381.32
10/3/2011,374.6
10/4/2011,372.5
10/5/2011,378.25
10/6/2011,377.37
10/7/2011,369.8
10/9/2011,388.81
10/10/2011,400.29
10/11/2011,402.19
10/12/2011,408.43
10/13/2011,422
10/16/2011,419.99
10/17/2011,422.24
10/18/2011,398.62
10/19/2011,395.31
10/20/2011,392.87
10/23/2011,405.77
10/24/2011,397.77
10/25/2011,400.6
10/26/2011,404.69
10/27/2011,404.95
10/30/2011,404.78
11/1/2011,396.51
11/2/2011,397.41
11/3/2011,403.07
11/4/2011,400.24
11/7/2011,399.73
11/8/2011,406.23
11/9/2011,395.28
11/9/2011,385.22
11/10/2011,384.62
11/13/2011,379.26
11/14/2011,388.83
11/15/2011,384.77
11/16/2011,377.41
11/17/2011,374.94
11/20/2011,369.01
11/21/2011,376.51
11/22/2011,366.99
11/24/2011,363.57
11/27/2011,376.12
11/28/2011,373.2
11/29/2011,382.2
12/1/2011,387.93
12/2/2011,389.7
12/5/2011,393.01
12/6/2011,390.95
12/7/2011,389.09
12/8/2011,390.66
12/9/2011,393.62
12/11/2011,391.84
12/12/2011,388.81
12/13/2011,380.19
12/14/2011,378.94
12/15/2011,381.02
12/18/2011,382.21
12/19/2011,395.95
12/20/2011,396.44
12/21/2011,398.55
12/22/2011,403.43
12/26/2011,406.53
12/27/2011,402.64
12/28/2011,405.12
12/29/2011,405
1/3/2012,411.23
1/4/2012,413.44
1/5/2012,418.03
1/6/2012,422.4
1/9/2012,421.73
1/9/2012,423.24
1/10/2012,422.55
1/11/2012,421.39
1/12/2012,419.81
1/16/2012,424.7
1/17/2012,429.11
1/18/2012,427.75
1/19/2012,420.3
1/22/2012,427.41
1/23/2012,420.41
1/24/2012,446.66
1/25/2012,444.63
1/26/2012,447.28
1/29/2012,453.01
1/30/2012,456.48
2/1/2012,456.19
2/2/2012,455.12
2/3/2012,459.68
2/6/2012,463.97
2/7/2012,468.83
2/8/2012,476.68
2/9/2012,493.17
2/9/2012,493.42
2/12/2012,502.6
2/13/2012,509.46
2/14/2012,497.67
2/15/2012,502.21
2/16/2012,502.12
2/20/2012,514.85
2/21/2012,513.04
2/22/2012,516.39
2/23/2012,522.41
2/26/2012,525.76
2/27/2012,535.41
2/28/2012,542.44
3/1/2012,544.47
3/2/2012,545.18
3/5/2012,533.16
3/6/2012,530.26
3/7/2012,530.69
3/8/2012,541.99
3/9/2012,545.17
3/11/2012,552
3/12/2012,568.1
3/13/2012,589.58
3/14/2012,585.56
3/15/2012,585.57
3/18/2012,601.1
3/19/2012,605.96
3/20/2012,602.5
3/21/2012,599.34
3/22/2012,596.05
3/25/2012,606.98
3/26/2012,614.48
3/27/2012,617.62
3/28/2012,609.86
3/29/2012,599.55
4/2/2012,618.63
4/3/2012,629.32
4/4/2012,624.31
4/5/2012,633.68
4/9/2012,636.23
4/9/2012,628.44
